Type,Menu,Menu group,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
menuItem,Alcohol,Cans,(Can) Peach Apricot Dare,,,Beer - Draft,[],75.0,9.13,9.13,684.5,0.0,0.0,9.5,684.5,44.55,0.0,0.0
menuItem,Alcohol,Cans,(Can) Oatmeal Stout,,,Beer - Draft,[],61.0,8.12,8.12,495.5,0.0,0.0,6.0,495.5,26.95,0.0,0.0
modifier,Alcohol,Cans,(Can) Oatmeal Stout,,"!!! DONT MAKE !!!",,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Cans,(Can) Against the Currant,,,Beer - Draft,[],10.0,9.30,9.30,93.0,0.0,0.0,26.5,93.0,6.46,0.0,0.0
menuItem,Alcohol,Cans,(Can) D-Light,,,Beer - Draft,[],17.0,8.50,8.50,144.5,0.0,0.0,17.0,144.5,4.19,0.0,0.0
"",Alcohol,Drafts,,,,,,3157.0,7.44,,23473.0,10.9,0.0,609.0,23462.1,1449.21,0.0,0.0
menuItem,Alcohol,Drafts,Beer Flight,,,Beer - Draft,[],54.0,16.61,4.61,897.0,0.0,0.0,0.0,897.0,55.65,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,Golden Rule,,[],44.0,2.00,2.00,88.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,80 Shilling,,[],23.0,2.00,2.00,46.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,All-In IPA,,[],29.0,2.00,2.00,58.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,The Dare (Gose),,[],28.0,2.00,2.00,56.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,Saratoga Vibes,,[],51.0,2.00,2.00,102.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,Brevity Wit,,[],36.0,2.00,2.00,72.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,Oktoberfest,,[],28.0,2.00,2.00,56.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,Uncurious,,[],33.0,2.00,2.00,66.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,The Finest Lager,,[],26.0,2.00,2.00,52.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,Pucker Pop,,[],1.0,2.00,2.00,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,Goose Guice,,[],25.0,2.00,2.00,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
menuItem,Alcohol,Drafts,Taste,,,Beer - Draft,[],54.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Taste,,Golden Rule Blonde,,[],9.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Taste,,Cider,,[],5.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Taste,,80 Shilling,,[],3.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Taste,,All-In IPA,,[],3.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Taste,,The Dare (Gose),,[],6.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Taste,,Saratoga Vibes,,[],5.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Taste,,Brevity WIt,,[],4.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Taste,,Oktoberfest,,[],6.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Taste,,Uncurious,,[],6.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Taste,,The Finest Lager,,[],2.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Taste,,Goose Guice,,[],5.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Drafts,Golden Rule,,,Beer - Draft,[],561.0,7.15,7.15,4011.0,10.0,0.0,352.0,4001.0,230.79,0.0,0.0
menuItem,Alcohol,Drafts,Saratoga Vibes,,,Beer - Draft,[],266.0,7.50,7.50,1996.0,0.0,0.0,32.0,1996.0,128.03,0.0,0.0
menuItem,Alcohol,Drafts,Uncurious,,,Beer - Draft,[],352.0,8.16,8.16,2874.0,0.0,0.0,27.0,2874.0,179.76,0.0,0.0
modifier,Alcohol,Drafts,Uncurious,,"!!! DONT MAKE !!!",,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Drafts,All-in IPA,,,Beer - Draft,[],362.0,7.36,7.36,2665.0,0.0,0.0,24.0,2665.0,166.53,0.0,0.0
menuItem,Alcohol,Drafts,The Dare (Gose),,,Beer - Draft,[],116.0,7.07,7.07,820.0,0.0,0.0,13.0,820.0,55.16,0.0,0.0
menuItem,Alcohol,Drafts,Brevity Wit,,,Beer - Draft,[],180.0,7.42,7.42,1335.0,0.0,0.0,0.0,1335.0,85.47,0.0,0.0
menuItem,Alcohol,Drafts,Goose Guice,,,Beer - Draft,[],85.0,8.36,8.36,711.0,0.9,0.0,9.0,710.1,46.76,0.0,0.0
menuItem,Alcohol,Drafts,The Finest Lager,,,Beer - Draft,[],207.0,7.20,7.20,1491.0,0.0,0.0,80.0,1491.0,87.92,0.0,0.0
modifier,Alcohol,Drafts,The Finest Lager,,"!!! DONT MAKE !!!",,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Drafts,80 Shilling,,,Beer - Draft,[],127.0,7.03,7.03,893.0,0.0,0.0,0.0,893.0,54.46,0.0,0.0
menuItem,Alcohol,Drafts,Oktoberfest,,,Beer - Draft,[],509.0,7.23,7.23,3679.0,0.0,0.0,37.0,3679.0,225.05,0.0,0.0
menuItem,Alcohol,Drafts,Indian Ladder Cider,,,Beer - Draft,[],239.0,7.70,7.70,1840.0,0.0,0.0,8.0,1840.0,117.25,0.0,0.0
specialRequest,Alcohol,Drafts,Indian Ladder Cider,,Put In Druthers Pint Glass Pls,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Drafts,10oz Golden Rule,,,Beer - Draft,[],4.0,3.75,3.75,15.0,0.0,0.0,0.0,15.0,1.05,0.0,0.0
menuItem,Alcohol,Drafts,10oz Saratoga Vibes,,,Beer - Draft,[],2.0,5.00,5.00,10.0,0.0,0.0,0.0,10.0,0.7,0.0,0.0
menuItem,Alcohol,Drafts,10 oz Uncurious,,,Beer - Draft,[],7.0,7.00,7.00,49.0,0.0,0.0,0.0,49.0,3.43,0.0,0.0
menuItem,Alcohol,Drafts,10oz All-In IPA,,,Beer - Draft,[],4.0,4.50,4.50,18.0,0.0,0.0,3.0,18.0,0.84,0.0,0.0
